,tweet_id,cluster_id
3020,1436407412806852608,0
1960,1437117111730589696,0
3334,1435365001154514944,0
1464,1435345451675422720,0
3929,1436670125055299584,0
4150,1437055364898467840,0
3456,1436335869632339968,0
4986,1435972753132195840,0
2719,1435501967485325312,0
2557,1436871704228339712,0
783,1444416908082782208,1
3984,1437148948477747200,1
2822,1436109994039013376,1
4517,1435332450419462144,1
3188,1435421091443449856,1
3967,1437076982462832640,1
2966,1436134738499182592,1
3925,1435434565976399872,1
3347,1437148745599160320,1
1058,1435263048915226624,1
266,1435429899498627072,2
158,1436068258763853824,2
1766,1435311812459831296,2
4113,1435398068061589504,2
1371,1437081187047157760,2
2560,1435097649762508800,2
1527,1435728335754117120,2
398,1435322000734576640,2
3706,1435070915960844288,2
810,1435748703369932800,2
